"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 08 16:43:53 GMT 2023","Sat Apr 08 16:43:56 GMT 2023","2399","tests","test_proba","TestConduit","","","test_registration_valid",""
"passed","Sat Apr 08 16:43:49 GMT 2023","Sat Apr 08 16:43:49 GMT 2023","49","tests","test_proba","TestConduit","","","test_cookies_decline",""
"passed","Sat Apr 08 16:44:02 GMT 2023","Sat Apr 08 16:44:04 GMT 2023","2024","tests","test_proba","TestConduit","","","test_new_article",""
"passed","Sat Apr 08 16:43:50 GMT 2023","Sat Apr 08 16:43:50 GMT 2023","45","tests","test_proba","TestConduit","","","test_cookies_accept",""
"failed","Sat Apr 08 16:43:57 GMT 2023","Sat Apr 08 16:43:57 GMT 2023","274","tests","test_proba","TestConduit","","","test_signin_invalid",""
"passed","Sat Apr 08 16:44:00 GMT 2023","Sat Apr 08 16:44:01 GMT 2023","877","tests","test_proba","TestConduit","","","test_logout",""
"passed","Sat Apr 08 16:43:51 GMT 2023","Sat Apr 08 16:43:52 GMT 2023","776","tests","test_proba","TestConduit","","","test_registration_invalid",""
"passed","Sat Apr 08 16:43:58 GMT 2023","Sat Apr 08 16:43:59 GMT 2023","783","tests","test_proba","TestConduit","","","test_signin_valid",""
"broken","Sat Apr 08 16:44:09 GMT 2023","Sat Apr 08 16:44:17 GMT 2023","7161","tests","test_proba","TestConduit","","","test_del_my_article",""
"passed","Sat Apr 08 16:44:05 GMT 2023","Sat Apr 08 16:44:08 GMT 2023","2915","tests","test_proba","TestConduit","","","test_my_article_mod",""
